Best Validation Dice: 0.8036767578125
Best Validation Loss: 0.698591947555542
Total Epochs: 4103

Epoch, Train Loss, Validation Loss, Train Dice, Validation Dice
1, 5.701421, 4.113151, 0.064255, 0.105511
2, 3.966467, 3.375660, 0.148116, 0.216018
3, 3.190932, 2.683714, 0.225202, 0.259426
4, 2.843488, 2.560438, 0.238081, 0.277946
5, 2.634691, 2.426039, 0.268357, 0.303652
6, 2.479071, 2.253638, 0.286631, 0.356065
7, 2.384347, 2.105859, 0.299783, 0.364350
8, 2.267525, 2.159877, 0.310987, 0.352617
9, 2.180391, 2.069762, 0.331735, 0.370480
10, 2.133458, 1.987432, 0.335113, 0.387248
11, 2.120550, 1.932495, 0.339680, 0.403858
12, 2.077049, 1.851044, 0.342534, 0.431920
13, 2.044762, 1.897089, 0.358806, 0.409690
14, 2.004760, 1.814702, 0.361044, 0.442043
15, 2.016484, 1.788122, 0.363604, 0.437059
16, 1.941738, 1.786994, 0.371715, 0.432121
17, 1.920338, 1.783374, 0.376743, 0.441571
18, 1.891963, 1.733866, 0.384803, 0.432410
19, 1.874284, 1.688640, 0.386219, 0.465997
20, 1.846681, 1.636241, 0.385446, 0.479596
21, 1.820169, 1.629727, 0.399097, 0.477659
22, 1.817318, 1.667753, 0.396256, 0.468947
23, 1.798749, 1.607436, 0.398492, 0.475777
24, 1.776286, 1.578327, 0.406599, 0.503455
25, 1.765470, 1.630764, 0.406732, 0.473954
26, 1.749224, 1.585891, 0.418666, 0.494229
27, 1.726433, 1.617644, 0.414249, 0.468185
28, 1.730805, 1.564862, 0.420558, 0.505014
29, 1.736909, 1.606656, 0.408109, 0.478075
30, 1.707040, 1.556134, 0.425059, 0.500137
31, 1.713617, 1.571760, 0.422495, 0.506604
32, 1.703284, 1.544570, 0.423482, 0.509562
33, 1.699305, 1.554356, 0.417893, 0.496897
34, 1.674066, 1.517272, 0.431299, 0.522811
35, 1.689743, 1.538034, 0.426189, 0.506015
36, 1.684059, 1.548403, 0.431395, 0.504265
37, 1.666577, 1.525019, 0.433766, 0.496280
38, 1.672176, 1.494549, 0.431397, 0.514429
39, 1.652191, 1.512983, 0.434750, 0.504860
40, 1.650193, 1.527084, 0.434807, 0.509730
41, 1.647878, 1.515525, 0.437487, 0.504560
42, 1.636539, 1.511253, 0.442452, 0.500756
43, 1.641533, 1.499722, 0.434921, 0.516933
44, 1.626003, 1.494520, 0.443408, 0.517862
45, 1.629885, 1.508996, 0.442316, 0.512038
46, 1.623489, 1.480720, 0.441046, 0.523506
47, 1.633317, 1.497206, 0.439219, 0.519459
48, 1.616844, 1.496284, 0.448795, 0.508089
49, 1.603321, 1.504176, 0.446260, 0.507533
50, 1.623206, 1.439397, 0.447699, 0.522912
51, 1.606564, 1.493142, 0.445265, 0.512284
52, 1.587383, 1.471372, 0.451664, 0.524748
53, 1.595707, 1.471837, 0.453684, 0.520906
54, 1.592697, 1.454667, 0.456877, 0.527224
55, 1.590615, 1.461946, 0.452999, 0.525078
56, 1.577507, 1.508474, 0.460278, 0.510265
57, 1.583531, 1.475247, 0.455270, 0.511441
58, 1.569786, 1.458178, 0.457573, 0.520094
59, 1.574450, 1.458529, 0.466259, 0.522222
60, 1.560620, 1.480628, 0.458709, 0.518766
61, 1.562827, 1.410398, 0.462796, 0.536232
62, 1.575946, 1.474759, 0.455635, 0.517811
63, 1.555235, 1.498905, 0.466364, 0.510443
64, 1.556481, 1.433114, 0.460025, 0.522036
65, 1.551145, 1.414975, 0.457898, 0.542003
66, 1.557155, 1.501480, 0.460571, 0.503374
67, 1.562120, 1.442740, 0.462952, 0.523484
68, 1.564777, 1.411363, 0.458930, 0.539363
69, 1.544572, 1.504627, 0.466948, 0.507119
70, 1.564647, 1.474564, 0.458302, 0.513411
71, 1.530300, 1.407144, 0.476618, 0.534556
72, 1.540025, 1.464968, 0.470459, 0.518020
73, 1.547701, 1.487011, 0.469943, 0.509057
74, 1.524319, 1.429790, 0.478230, 0.524388
75, 1.540039, 1.380201, 0.469131, 0.544578
76, 1.512227, 1.505815, 0.479899, 0.502750
77, 1.542849, 1.455217, 0.461157, 0.519210
78, 1.520784, 1.429305, 0.476243, 0.527155
79, 1.502409, 1.416821, 0.477912, 0.529163
80, 1.504670, 1.490322, 0.479403, 0.511872
81, 1.519075, 1.558176, 0.480060, 0.491872
82, 1.526392, 1.415830, 0.473692, 0.530514
83, 1.495116, 1.383999, 0.480733, 0.544507
84, 1.524088, 1.475349, 0.470740, 0.514274
85, 1.504106, 1.369104, 0.476283, 0.542331
86, 1.494751, 1.480899, 0.483314, 0.506215
87, 1.488558, 1.382149, 0.488142, 0.545929
88, 1.503681, 1.468881, 0.482294, 0.513523
89, 1.478903, 1.440233, 0.487024, 0.519078
90, 1.471479, 1.412346, 0.488941, 0.533759
91, 1.474299, 1.386174, 0.493321, 0.542542
92, 1.475917, 1.482615, 0.492587, 0.521892
93, 1.489762, 1.384071, 0.479704, 0.541425
94, 1.487597, 1.353607, 0.485088, 0.553173
95, 1.474287, 1.435708, 0.493165, 0.519718
96, 1.458831, 1.463791, 0.496117, 0.525954
97, 1.489456, 1.382761, 0.479996, 0.545274
98, 1.461509, 1.304591, 0.494657, 0.577609
99, 1.470114, 1.389610, 0.493799, 0.547028
100, 1.464183, 1.318584, 0.490225, 0.574537
101, 1.474676, 1.341443, 0.488770, 0.563215
102, 1.474367, 1.364791, 0.489159, 0.545622
103, 1.468872, 1.375304, 0.498043, 0.539165
104, 1.464508, 1.413102, 0.495830, 0.547094
105, 1.453023, 1.463591, 0.492584, 0.524832
106, 1.455523, 1.359918, 0.495452, 0.549286
107, 1.467983, 1.336445, 0.489928, 0.563695
108, 1.447546, 1.332188, 0.495778, 0.569103
109, 1.468571, 1.298581, 0.491605, 0.580145
110, 1.457665, 1.382898, 0.488769, 0.542235
111, 1.459914, 1.513225, 0.494320, 0.527968
112, 1.457914, 1.301216, 0.496083, 0.571048
113, 1.451551, 1.265556, 0.496886, 0.595801
114, 1.473871, 1.384059, 0.487212, 0.557598
115, 1.461386, 1.375075, 0.493039, 0.544962
116, 1.429990, 1.323267, 0.507472, 0.569481
117, 1.434269, 1.264927, 0.508870, 0.590865
118, 1.444325, 1.341475, 0.501380, 0.565259
119, 1.440411, 1.324662, 0.503816, 0.571248
120, 1.441128, 1.307810, 0.508447, 0.570238
121, 1.436728, 1.314857, 0.502422, 0.575649
122, 1.431057, 1.324582, 0.506264, 0.567742
123, 1.434437, 1.351767, 0.505937, 0.568308
124, 1.422694, 1.320984, 0.509067, 0.567917
125, 1.419066, 1.402680, 0.515812, 0.556144
126, 1.425384, 1.430778, 0.504401, 0.534424
127, 1.429450, 1.446987, 0.507082, 0.525370
128, 1.428882, 1.352633, 0.507037, 0.564393
129, 1.433095, 1.341689, 0.502103, 0.569009
130, 1.412239, 1.346651, 0.510061, 0.562550
131, 1.439606, 1.321492, 0.499452, 0.571827
132, 1.425547, 1.319540, 0.501459, 0.566236
133, 1.416205, 1.278058, 0.508488, 0.580473
134, 1.430078, 1.236339, 0.509168, 0.609271
135, 1.433252, 1.326149, 0.503879, 0.566429
136, 1.417980, 1.311357, 0.501837, 0.569611
137, 1.412441, 1.322371, 0.511977, 0.574166
138, 1.399808, 1.297300, 0.512687, 0.580991
139, 1.409373, 1.232143, 0.511901, 0.608039
140, 1.404216, 1.286321, 0.518307, 0.577086
141, 1.422294, 1.349478, 0.502394, 0.557695
142, 1.417214, 1.380246, 0.506007, 0.566414
143, 1.430058, 1.343994, 0.498472, 0.567861
144, 1.412929, 1.290001, 0.508744, 0.581054
145, 1.420708, 1.234297, 0.504971, 0.603355
146, 1.403778, 1.272966, 0.513770, 0.590959
147, 1.410204, 1.363441, 0.513286, 0.573402
148, 1.408447, 1.303470, 0.517219, 0.572754
149, 1.415471, 1.323160, 0.511148, 0.565536
150, 1.411985, 1.352908, 0.509870, 0.553343
151, 1.410194, 1.317358, 0.515767, 0.578142
152, 1.394849, 1.272782, 0.524357, 0.583012
153, 1.396178, 1.309436, 0.521364, 0.565754
154, 1.389505, 1.285783, 0.512786, 0.586953
155, 1.402864, 1.264150, 0.511628, 0.576989
156, 1.395357, 1.272300, 0.511066, 0.574156
157, 1.393713, 1.266767, 0.515927, 0.593760
158, 1.397969, 1.334438, 0.524276, 0.563497
159, 1.399094, 1.348906, 0.508590, 0.567062
160, 1.398593, 1.256927, 0.508517, 0.590550
161, 1.412288, 1.237759, 0.505589, 0.592361
162, 1.411960, 1.312136, 0.508344, 0.586879
163, 1.398050, 1.289150, 0.512867, 0.578906
164, 1.412214, 1.330281, 0.502504, 0.548412
165, 1.396711, 1.318452, 0.518528, 0.559361
166, 1.392601, 1.310601, 0.510074, 0.566180
167, 1.420862, 1.420567, 0.505553, 0.538454
168, 1.409951, 1.299584, 0.505145, 0.569359
169, 1.391220, 1.304152, 0.511500, 0.571777
